date,state,price,is_anomaly
2022-01,Kedah,3.718274336283186,0
2022-02,Kedah,3.7908656716417912,0
2022-03,Kedah,3.8637096774193553,0
2022-04,Kedah,3.5444927536231887,0
2022-05,Kedah,3.3995577746077035,0
2022-06,Kedah,3.4106787330316743,0
2022-07,Kedah,3.2641639344262297,0
2022-08,Kedah,3.321127596439169,0
2022-09,Kedah,3.3527301587301586,0
2022-10,Kedah,3.511408934707904,0
2022-11,Kedah,3.904959785522789,0
2022-12,Kedah,4.2261484593837535,0
2023-01,Kedah,3.868474148802017,0
2023-02,Kedah,3.5304429678848286,0
2023-03,Kedah,3.238889852558543,0
2023-04,Kedah,3.1198536585365853,0
2023-05,Kedah,3.0888477366255143,0
2023-06,Kedah,3.0561202715809896,0
2023-07,Kedah,3.03661149825784,0
2023-08,Kedah,3.107339805825243,0
2023-09,Kedah,3.653468992248062,0
2023-10,Kedah,4.229449626865672,0
2023-11,Kedah,4.443465346534653,0
2023-12,Kedah,5.57319587628866,0
2024-01,Kedah,7.865418326693227,1
2024-02,Kedah,8.18178947368421,1
2024-03,Kedah,9.58201550387597,1
2024-04,Kedah,8.818095238095239,1
2024-05,Kedah,7.823333333333333,1
2024-06,Kedah,5.636530973451327,0
2024-07,Kedah,5.451359223300971,0
