date,state,price,is_anomaly
2022-01,Johor,4.015017482517483,0
2022-02,Johor,3.940338645418327,0
2022-03,Johor,3.863789319678127,0
2022-04,Johor,3.625182809493265,0
2022-05,Johor,3.408461025982678,0
2022-06,Johor,3.3096617238183503,0
2022-07,Johor,3.1687558685446007,0
2022-08,Johor,3.1429602420051856,0
2022-09,Johor,3.1241484494153537,0
2022-10,Johor,3.149235727440148,0
2022-11,Johor,3.330085130533485,0
2022-12,Johor,3.667382729211088,0
2023-01,Johor,3.618220457730033,0
2023-02,Johor,3.3034111221449853,0
2023-03,Johor,2.9665103697024344,0
2023-04,Johor,2.808723603941812,0
2023-05,Johor,2.79,0
2023-06,Johor,2.813013698630137,0
2023-07,Johor,2.821329765335529,0
2023-08,Johor,2.8950963693411027,0
2023-09,Johor,3.257189478811496,0
2023-10,Johor,3.495803662258393,0
2023-11,Johor,3.7595510499637945,0
2023-12,Johor,4.853157894736842,0
2024-01,Johor,6.947901234567901,1
2024-02,Johor,7.3978002244668914,1
2024-03,Johor,8.234256505576207,1
2024-04,Johor,7.103538732394367,1
2024-05,Johor,6.8598255033557045,1
2024-06,Johor,5.651834924965894,0
2024-07,Johor,5.349932572614108,0
