date,state,price,is_anomaly
2022-01,Pahang,3.8629969727547935,0
2022-02,Pahang,3.894109429569267,0
2022-03,Pahang,3.8749102333931775,0
2022-04,Pahang,3.632883762200533,0
2022-05,Pahang,3.4757993384785006,0
2022-06,Pahang,3.412150026413101,0
2022-07,Pahang,3.429698863636364,0
2022-08,Pahang,3.400102974828376,0
2022-09,Pahang,3.418587975730833,0
2022-10,Pahang,3.4794634955752217,0
2022-11,Pahang,3.65632536973834,0
2022-12,Pahang,4.002033994334279,0
2023-01,Pahang,3.836041287188829,0
2023-02,Pahang,3.6071252204585535,0
2023-03,Pahang,3.342372881355933,0
2023-04,Pahang,3.225363914373089,0
2023-05,Pahang,3.2249966599866404,0
2023-06,Pahang,3.215539135194308,0
2023-07,Pahang,3.2505345572354214,0
2023-08,Pahang,3.279066390041494,0
2023-09,Pahang,3.70716340621404,0
2023-10,Pahang,3.8586473684210527,0
2023-11,Pahang,4.162068286277086,0
2023-12,Pahang,5.453360522022839,0
2024-01,Pahang,7.545663157894737,1
2024-02,Pahang,7.303051823416506,1
2024-03,Pahang,8.682930648769574,1
2024-04,Pahang,7.227180451127819,1
2024-05,Pahang,6.974467353951889,1
2024-06,Pahang,6.070924006908464,0
2024-07,Pahang,5.758637770897834,0
